일련번호,상품명,중량, 판매가 ,소재,규격,구성,상품정보고시
78,별자리 펜던트 메달_처녀자리(양력생일 08.23~09.23),4.65,748000,,,없음,"소재:메달 Au 999 3.75g / 베젤 Au 585 0.9g크기:베젤크기 19mm 메달크기 17mm무게:메달 Au 999 3.75g / 베젤 Au 585 0.9g 구성:메달, 보증서, 케이스보증서:품질을 보증하는 보증서 제공품질보증:한국조폐공사상품문의:1577-4321"
79,별자리 펜던트 메달_천칭자리(양력생일 09.24~10.22),4.65,748000,,,없음,"소재:메달 Au 999 3.75g / 베젤 Au 585 0.9g크기:베젤크기 19mm 메달크기 17mm무게:메달 Au 999 3.75g / 베젤 Au 585 0.9g 구성:메달, 보증서, 케이스보증서:품질을 보증하는 보증서 제공품질보증:한국조폐공사상품문의:1577-4321"
80,별자리 펜던트 메달_전갈자리(양력생일 10.23~11.22),4.65,748000,Au 999,,없음,"소재:메달 Au 999 3.75g / 베젤 Au 585 0.9g크기:베젤크기 19mm 메달크기 17mm무게:메달 Au 999 3.75g / 베젤 Au 585 0.9g 구성:메달, 보증서, 케이스보증서:품질을 보증하는 보증서 제공품질보증:한국조폐공사상품문의:1577-4321"
81,별자리 펜던트 메달_사수자리(양력생일 11.23~12.24),4.65,748000,Au 999 3.75g / Au 585 0.9g,19mm,"메달, 케이스, 보증서","소재:메달 Au 999 3.75g / 베젤 Au 585 0.9g크기:베젤크기 19mm 메달크기 17mm무게:메달 Au 999 3.75g / 베젤 Au 585 0.9g 구성:메달, 보증서, 케이스보증서:품질을 보증하는 보증서 제공품질보증:한국조폐공사상품문의:1577-4321"
82,천사의 재능 십이지 메달 12종(쥐),4.65,748000,메달 Au999 / 베젤 Au 585,메달 17mm / 베젤 19mm,"메달(줄 제외), 베젤, 케이스, 보증서","소재:순금 Au999크기:15mm 정도무게:3.75g구성:목걸이 메달(줄 제외), 케이스, 보증서보증서:품질을 보증하는 보증서 제공품질보증:한국조폐공사상품문의:1577-4321"
83,천사의 재능 십이지 메달 12종(소) ,4.65,748000,메달 Au 999/ 베젤 Au585,메달17mm/ 베젤 19mm,"메달, 베젤, 케이스, 보증서 ","소재:메달 Au 999/ 베젤 Au585크기:메달17mm/ 베젤 19mm무게:4.65g(이상)구성:메달(줄제외), 베젤, 케이스, 보증서보증서:품질을 보증하는 보증서 제공품질보증:한국조폐공사상품문의:1577-4321"
84,천사의 재능 십이지 메달 12종(토끼) ,4.65,748000,메달 Au 999/ 베젤 Au585,메달17mm/ 베젤 19mm,"메달, 베젤, 케이스, 보증서 ","소재:메달 Au 999/ 베젤 Au585크기:메달17mm/ 베젤 19mm 무게:4.65g(이상)구성:메달(줄제외), 베젤, 케이스, 보증서보증서:품질을 보증하는 보증서 제공품질보증:한국조폐공사상품문의:1577-4321"
85,천사의 재능 십이지 메달 12종(용) ,4.65,748000,메달 Au 999/ 베젤 Au585,메달17mm/ 베젤 19mm,"메달, 베젤, 케이스, 보증서 ","소재:메달 Au 999/ 베젤 Au585크기:메달17mm/ 베젤 19mm 무게:4.65g(이상)구성:메달(줄제외), 베젤, 케이스, 보증서보증서:품질을 보증하는 보증서 제공품질보증:한국조폐공사상품문의:1577-4321"
86,천사의 재능 십이지 메달 12종(뱀) ,4.65,748000,메달 Au 999/ 베젤 Au585,메달17mm/ 베젤 19mm,"메달, 베젤, 케이스, 보증서 ","소재:메달 Au 999/ 베젤 Au585크기:메달17mm/ 베젤 19mm 무게:4.65g(이상)구성:메달(줄제외), 베젤, 케이스, 보증서보증서:품질을 보증하는 보증서 제공품질보증:한국조폐공사상품문의:1577-4321"
87,천사의 재능 십이지 메달 12종(말),4.65,748000,메달 Au 999/ 베젤 Au585,메달17mm/ 베젤 19mm,"메달, 베젤, 케이스, 보증서 ","소재:메달 Au 999/ 베젤 Au585 크기:메달17mm/ 베젤 19mm무게:4.65g구성:메달(줄제외), 베젤, 케이스, 보증서보증서:품질을 보증하는 보증서 제공품질보증:한국조폐공사상품문의:1577-4321"
